"C:\Users\enric\OneDrive\Área de Trabalho\Python\venv\Scripts\python.exe" "C:/Users/enric/OneDrive/Área de Trabalho/Python/Wordle.py"
welch 3
welsh 3
wench 4
whack 4
whale 4
wharf 4
wheat 3
wheel 4
whelp 4
where 5
which 4
whiff 4
while 4
whine 4
whiny 4
whirl 3
whisk 4
white 4
whole 4
whoop 4
whose 4
widen 3
wider 4
widow 4
width 4
wield 4
wight 4
willy 4
wimpy 5
wince 5
winch 4
windy 4
wiser 3
wispy 4
witch 4
witty 5
woken 4
woman 3
women 4
woody 5
wooer 4
wooly 3
woozy 5
wordy 4
world 3
worry 4
worse 4
worst 3
worth 4
would 3
wound 5
woven 4
wrack 4
wrath 3
wreak 4
wreck 3
wrest 3
wring 4
wrist 3
write 3
wrong 4
wrote 4
wrung 4
wryly 4
yacht 3
yearn 4
yeast 3
yield 4
young 4
youth 4
zebra 3
zesty 3
zonal 3
{'1': 0, '2': 79, '3': 1154, '4': 1021, '5': 60, '6': 1}
{}
3.46

Process finished with exit code 0
